iter	MultiClass
118	0.5460225556
119	0.5451332852
120	0.5441710291
121	0.5432720467
122	0.5423584355
123	0.5415328776
124	0.5406758775
125	0.5399115566
126	0.5390876971
127	0.5382858085
128	0.5374765054
129	0.5366301268
130	0.5358955807
131	0.535177834
132	0.5343530963
133	0.5335373335
134	0.532843217
135	0.532116195
136	0.5314376345
137	0.5307565639
138	0.5301098392
139	0.5293106928
140	0.5285918181
141	0.5278030022
142	0.5271902541
143	0.5264672911
144	0.5258051254
145	0.5252411584
146	0.5246391239
147	0.5239908651
148	0.5234027433
149	0.5228243687
150	0.5222096314
151	0.5213975767
152	0.5207197637
153	0.5201401027
154	0.5195160952
155	0.5188475297
156	0.5182297875
157	0.5175171492
158	0.5170171817
159	0.5165559866
160	0.5160153592
161	0.5154730513
162	0.5148574663
163	0.5142687338
164	0.5137476016
165	0.5133463171
166	0.5129651829
167	0.5123821743
168	0.5117858845
169	0.5113324001
170	0.5109172333
171	0.5105016688
172	0.5100026204
173	0.5094312787
174	0.509035175
175	0.5086185965
176	0.5081054691
177	0.5076872216
178	0.5071899634
179	0.5065797835
180	0.5060818005
181	0.5055734956
182	0.5051793943
183	0.5048353276
184	0.504414078
185	0.5038803023
186	0.5033438918
187	0.5029409255
188	0.5024772258
189	0.5019713146
190	0.5016000969
191	0.5013359609
192	0.5009187876
193	0.5004489295
194	0.5000343247
195	0.4997133094
196	0.4993166565
197	0.4989133823
198	0.4985858596
199	0.4981812869
200	0.4978054262
201	0.4971914335
202	0.4968501723
203	0.4963861415
204	0.4960043041
205	0.4955047093
206	0.4951220184
207	0.4947638549
208	0.4943976938
209	0.4940163179
210	0.4937734622
211	0.4934041893
212	0.4930988948
213	0.4925604599
214	0.4921676596
215	0.4915777245
216	0.4911465058
217	0.490667742
218	0.4902363564
219	0.4900017873
220	0.4896860422
221	0.4894310631
222	0.4891328381
223	0.4887213055
224	0.488408271
225	0.4880504123
226	0.4877467449
227	0.4874073087
228	0.487117227
229	0.4867539754
230	0.4865462667
231	0.4862339048
232	0.4859226944
233	0.4854961494
234	0.4853170708
235	0.4849717623
236	0.4846515901
237	0.4844479443
238	0.4841345464
239	0.4837728743
240	0.4835265629
241	0.4831975481
242	0.4829608144
243	0.4827430145
244	0.482465044
245	0.4822227712
246	0.4819215731
247	0.481675546
248	0.4814694699
249	0.4812522724
250	0.4809609899
251	0.4807225934
252	0.4803469365
253	0.4800592591
254	0.4798578313
255	0.4796169387
256	0.4794228444
257	0.4792117012
258	0.4789848692
259	0.4788548389
260	0.4786885264
261	0.4784101041
262	0.4780945384
263	0.4779640797
264	0.4777165921
265	0.4772641686
266	0.4770634885
267	0.4767441206
268	0.4762874744
269	0.4759046276
270	0.4756407142
271	0.4753098636
272	0.4751200339
273	0.4747877396
274	0.4744449015
275	0.4742013169
276	0.4738563693
277	0.4736129357
278	0.4733644148
279	0.4731132857
280	0.4729031687
281	0.4726641084
282	0.4723143483
283	0.4720837652
284	0.4717087107
285	0.4714289459
286	0.4711601982
287	0.4709338163
288	0.470701345
289	0.4704693644
290	0.4702540984
291	0.4700739378
292	0.4698363599
293	0.4695305535
294	0.4693519022
295	0.4691341311
296	0.4688555627
297	0.4686346314
298	0.4683594992
299	0.4680967882
300	0.4679573134
301	0.467808158
302	0.4675810492
303	0.4674042326
304	0.4672134508
305	0.4669377547
306	0.4666825959
307	0.4664677358
308	0.4662028508
309	0.4659753395
310	0.4657579536
311	0.4656145337
312	0.4654273973
313	0.4651484204
314	0.4649109966
315	0.4646307798
316	0.464346505
317	0.4640912365
318	0.4639017803
319	0.4636736428
320	0.4634130775
321	0.4632114242
322	0.4630226885
323	0.4627861083
324	0.4625892641
325	0.4624018963
326	0.4620358458
327	0.4618215526
328	0.4615099283
329	0.4613120607
330	0.4609731049
331	0.4606260801
332	0.4604163889
333	0.4602345249
334	0.4600522062
335	0.4598435547
336	0.4596168592
337	0.4593125745
338	0.4590925857
339	0.4587889405
340	0.4587075858
341	0.4585249324
342	0.4582648617
343	0.4581742249
344	0.4579946431
345	0.457773281
346	0.457629553
347	0.4575081666
348	0.4572940564
349	0.4570703825
350	0.4567101103
351	0.4565517372
352	0.4563209805
353	0.4561632289
354	0.4558377801
355	0.4556797195
356	0.4553710431
357	0.455138496
358	0.4549898074
359	0.4548354328
360	0.4546319348
361	0.4544371069
362	0.45421506
363	0.4541152713
364	0.4538547121
365	0.4535549437
366	0.453313597
367	0.4530719718
368	0.4527398962
369	0.4525623235
370	0.4524370466
371	0.4520991553
372	0.451825389
373	0.4516505174
374	0.4514398201
375	0.4511723255
376	0.450949892
377	0.450750988
378	0.4504129223
379	0.4501085827
380	0.4498522643
381	0.4496967737
382	0.4494657001
383	0.4493081096
384	0.4491546711
